instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
8646,01-01-2012,1,1,1,0,0,0,0,1,0.36,0.3788,0.66,0,5,43,48
8647,01-01-2012,1,1,1,1,0,0,0,1,0.36,0.3485,0.66,0.1343,15,78,93
8648,01-01-2012,1,1,1,2,0,0,0,1,0.32,0.3485,0.76,0,16,59,75
8649,01-01-2012,1,1,1,3,0,0,0,1,0.3,0.3333,0.81,0,11,41,52
8650,01-01-2012,1,1,1,4,0,0,0,1,0.28,0.303,0.81,0.0896,0,8,8
8651,01-01-2012,1,1,1,5,0,0,0,1,0.28,0.2879,0.81,0.1045,0,5,5
8652,01-01-2012,1,1,1,6,0,0,0,1,0.26,0.2727,0.93,0.1343,1,1,2
8653,01-01-2012,1,1,1,7,0,0,0,1,0.26,0.2576,0.93,0.1642,1,6,7
8654,01-01-2012,1,1,1,8,0,0,0,1,0.26,0.2727,0.87,0.1045,4,10,14
8655,01-01-2012,1,1,1,9,0,0,0,1,0.26,0.2727,0.93,0.1045,13,27,40
8656,01-01-2012,1,1,1,10,0,0,0,1,0.3,0.3182,0.81,0.1045,18,52,70
8657,01-01-2012,1,1,1,11,0,0,0,1,0.34,0.3333,0.76,0.1343,40,98,138
8658,01-01-2012,1,1,1,12,0,0,0,1,0.4,0.4091,0.62,0.2836,58,143,201
8659,01-01-2012,1,1,1,13,0,0,0,1,0.42,0.4242,0.58,0.2836,82,141,223
8660,01-01-2012,1,1,1,14,0,0,0,1,0.44,0.4394,0.54,0.2985,120,147,267
8661,01-01-2012,1,1,1,15,0,0,0,1,0.46,0.4545,0.51,0.2985,101,164,265
8662,01-01-2012,1,1,1,16,0,0,0,2,0.44,0.4394,0.54,0.2985,68,147,215
8663,01-01-2012,1,1,1,17,0,0,0,2,0.48,0.4697,0.48,0.1642,36,75,111
8664,01-01-2012,1,1,1,18,0,0,0,3,0.46,0.4545,0.59,0.2537,25,81,106
8665,01-01-2012,1,1,1,19,0,0,0,3,0.42,0.4242,0.67,0.3881,20,85,105
8666,01-01-2012,1,1,1,20,0,0,0,2,0.44,0.4394,0.62,0.2985,25,58,83
8667,01-01-2012,1,1,1,21,0,0,0,2,0.44,0.4394,0.67,0.2537,10,61,71
8668,01-01-2012,1,1,1,22,0,0,0,1,0.46,0.4545,0.55,0.4179,13,53,66
8669,01-01-2012,1,1,1,23,0,0,0,1,0.44,0.4394,0.51,0.2985,4,25,29
8670,02-01-2012,1,1,1,0,1,1,0,1,0.4,0.4091,0.4,0.4627,8,31,39
8671,02-01-2012,1,1,1,1,1,1,0,1,0.36,0.3333,0.43,0.4179,1,11,12
8672,02-01-2012,1,1,1,2,1,1,0,1,0.36,0.3182,0.34,0.4478,1,6,7
8673,02-01-2012,1,1,1,4,1,1,0,1,0.28,0.2576,0.45,0.3284,0,4,4
8674,02-01-2012,1,1,1,5,1,1,0,1,0.28,0.2576,0.45,0.3284,1,3,4
8675,02-01-2012,1,1,1,6,1,1,0,1,0.26,0.2273,0.41,0.3881,0,14,14
8676,02-01-2012,1,1,1,7,1,1,0,1,0.24,0.2121,0.32,0.3881,0,16,16
8677,02-01-2012,1,1,1,8,1,1,0,1,0.24,0.2273,0.35,0.2537,2,51,53
8678,02-01-2012,1,1,1,9,1,1,0,1,0.24,0.2576,0.35,0,15,53,68
8679,02-01-2012,1,1,1,10,1,1,0,1,0.26,0.2424,0.35,0.2836,20,89,109
8680,02-01-2012,1,1,1,11,1,1,0,1,0.26,0.2121,0.35,0.4925,33,142,175
8681,02-01-2012,1,1,1,12,1,1,0,1,0.28,0.2727,0.36,0.2537,41,161,202
8682,02-01-2012,1,1,1,13,1,1,0,1,0.3,0.2727,0.36,0.2985,26,150,176
8683,02-01-2012,1,1,1,14,1,1,0,1,0.3,0.2727,0.36,0.4179,10,141,151
8684,02-01-2012,1,1,1,15,1,1,0,1,0.28,0.2424,0.38,0.4478,29,139,168
8685,02-01-2012,1,1,1,16,1,1,0,1,0.26,0.2273,0.35,0.4179,10,144,154
8686,02-01-2012,1,1,1,17,1,1,0,1,0.26,0.2273,0.35,0.3881,17,136,153
8687,02-01-2012,1,1,1,18,1,1,0,1,0.26,0.2424,0.33,0.2537,13,113,126
8688,02-01-2012,1,1,1,19,1,1,0,1,0.24,0.2273,0.38,0.2239,4,89,93
8689,02-01-2012,1,1,1,20,1,1,0,1,0.24,0.2273,0.41,0.2239,5,83,88
8690,02-01-2012,1,1,1,21,1,1,0,2,0.24,0.2121,0.41,0.3284,3,63,66
8691,02-01-2012,1,1,1,22,1,1,0,2,0.22,0.2121,0.44,0.2836,3,36,39
8692,02-01-2012,1,1,1,23,1,1,0,1,0.22,0.2121,0.44,0.2537,2,32,34
8693,03-01-2012,1,1,1,0,0,2,1,1,0.2,0.197,0.51,0.2537,0,13,13
8694,03-01-2012,1,1,1,1,0,2,1,1,0.18,0.1818,0.55,0.2239,1,5,6
8695,03-01-2012,1,1,1,2,0,2,1,1,0.18,0.1667,0.51,0.2537,0,3,3
8696,03-01-2012,1,1,1,3,0,2,1,1,0.16,0.1364,0.55,0.2836,0,2,2
8697,03-01-2012,1,1,1,4,0,2,1,1,0.16,0.1515,0.55,0.2537,0,5,5
8698,03-01-2012,1,1,1,5,0,2,1,1,0.14,0.1364,0.54,0.194,0,12,12
8699,03-01-2012,1,1,1,6,0,2,1,1,0.14,0.1212,0.59,0.2836,4,81,85
8700,03-01-2012,1,1,1,7,0,2,1,1,0.14,0.1212,0.59,0.2537,2,168,170
8701,03-01-2012,1,1,1,8,0,2,1,1,0.16,0.1364,0.55,0.2836,5,349,354
8702,03-01-2012,1,1,1,9,0,2,1,1,0.16,0.1364,0.5,0.2836,8,145,153
8703,03-01-2012,1,1,1,10,0,2,1,1,0.16,0.1212,0.47,0.4627,5,55,60
8704,03-01-2012,1,1,1,11,0,2,1,1,0.18,0.1364,0.37,0.5224,12,63,75
8705,03-01-2012,1,1,1,12,0,2,1,1,0.18,0.1364,0.37,0.5224,4,70,74
8706,03-01-2012,1,1,1,13,0,2,1,1,0.18,0.1212,0.34,0.6567,5,68,73
